jem             jem                 009VIP99998888877776665544321
Jem             jem                 000STD12345678912345671224123
Jay                                 890VIP55219000657852450525111
Emily           ems                 450VIP54547100656958411224666
matt            matt                009STD01233445430505322344343
Moogle3000      kupo                000STD00000000000000000000000
pop             pop                 000STD00000000000000000000000
Jeff            jeffers             005STD25545565656565535254626
testuser        test                100VIP84384285754287477484777
emz             emz                 000STD00000000000000000000000
testuser123     password            000STD00000000000000000000000
test123         test123             000VIP87453784357834773333333
poster          poster              009VIP09999293939393933933333
w               w                   000STD11111111111111001100100
